"Organization","Permit_Adminid","Permit_Name","Facility_Name","Facility_Status","Locality","MP_Name","MP_Type","Intake_Capacity_(MGD)","Source_of_Capacity_Estimate","Exemption_Code","Max_Pre-89_(MGY)","VDH_Total_Pumping_Capacity_(MGD)","401_Certification_Limit_(MGD)","Max_Pre-89_(MGM)"
"Pounding Mill Quarry Corp","68830","POUNDING MILL PLANT(POUNDING MILL PLANT)","POUNDING MILL PLANT","active","Tazewell","CLINCH RIVER","Surface Water Intake","0.02","VWUDS Form","1","17.98","0","0","1.86"
"Alleghany County","71379","POUNDING MILL SERVICE AREAS(POUNDING MILL SERVICE AREAS)","POUNDING MILL SERVICE AREAS","active","Alleghany","POUNDING MILL SPRING","Surface Water Intake","0","","0","54.272","0","0","5.359"
"Pound, Town Of","69755","POUND WTP(POUND)","POUND WTP","active","Wise","POUND RESERVOIR","Surface Water Intake","0.75","VWUDS Form","1","123.6","0.5","0","11.97"
"","0","","Powhatan (Agriculture)","proposed","Powhatan","Powhatan (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Powhatan (Community Water System)","proposed","Powhatan","Powhatan (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Powhatan (Large Self-Supplied User)","proposed","Powhatan","Powhatan (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Primland Ltd","71070","PRIMLAND RESORT(Golf Course Irrigation)","PRIMLAND RESORT","active","Patrick","DUCK POND","Surface Water Intake","0","","0","0","0","0","0"
"Primland Ltd","163167","Primland Resort","PRIMLAND RESORT","active","Patrick","DUCK POND","Surface Water Intake","0","","0","0","0","0","0"
"Primland Ltd","71070","PRIMLAND RESORT(Golf Course Irrigation)","PRIMLAND RESORT","active","Patrick"," POND #4","Surface Water Intake","0","","0","0","0","0","0"
"Primland Ltd","163167","Primland Resort","PRIMLAND RESORT","active","Patrick"," POND #4","Surface Water Intake","0","","0","0","0","0","0"
"Primland Ltd","71070","PRIMLAND RESORT(Golf Course Irrigation)","PRIMLAND RESORT","active","Patrick","POND #4","Surface Water Intake","0","","0","0","0","0","0"
"Primland Ltd","163167","Primland Resort","PRIMLAND RESORT","active","Patrick","POND #4","Surface Water Intake","0","","0","0","0","0","0"
"Primland Ltd","71070","PRIMLAND RESORT(Golf Course Irrigation)","PRIMLAND RESORT","active","Patrick","OLD POND","Surface Water Intake","0","","0","0","0","0","0"
"Primland Ltd","163167","Primland Resort","PRIMLAND RESORT","active","Patrick","OLD POND","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Prince Edward (Agriculture)","proposed","Prince Edward","Prince Edward (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Prince Edward (Community Water System)","proposed","Prince Edward","Prince Edward (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Prince Edward (Large Self-Supplied User)","proposed","Prince Edward","Prince Edward (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"John S Prince","69211","PRINCE FARM(PRINCE FARM)","PRINCE FARM","active","Sussex","PRINCE SC","Surface Water Intake","0","","0","0","0","0","0"
"John S Prince","69211","PRINCE FARM(PRINCE FARM)","PRINCE FARM","active","Sussex","Prince 95","Surface Water Intake","0","","0","0","0","0","0"
"Prince George County","450622","Prince George-Appomattox River water Withdrawal","Prince George-Appomattox River water Withdrawal","proposed","Prince George","Prince George-Appomattox River water Withdrawal","Surface Water Intake","0","","0","0","0","0","0"
"Prince George Golf Course","69372","PRINCE GEORGE GOLF COURSE(PRINCE GEORGE GOLF COURSE)","PRINCE GEORGE GOLF COURSE","active","Prince George","POND","Surface Water Intake","0","","1","5.65","0","0","1"
"Princess Anne Country Club","66528","Princess Anne Country Club","Princess Anne Country Club","active","Virginia Beach","POND WITHDRAWAL","Surface Water Intake","1.44","VWUDS Form","1","0","0","0","0"
"","0","","Prince William (Agriculture)","proposed","Prince William","Prince William (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Prince William (Community Water System)","proposed","Prince William","Prince William (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Prince William (Large Self-Supplied User)","proposed","Prince William","Prince William (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Prince William County Golf Course","70846","PR WILLIAM PUBLIC GOLF COURSE(PR WILLIAM PUBLIC GOLF COURSE)","Prince William Public Golf Course","active","Prince William","POND #4","Surface Water Intake","0","","0","0","0","0","0"
"Prince William County Golf Course","70846","PR WILLIAM PUBLIC GOLF COURSE(PR WILLIAM PUBLIC GOLF COURSE)","Prince William Public Golf Course","active","Prince William","2.5 ACRE POND (#18)","Surface Water Intake","0","","5","3.04","0","0","1"
"","0","","Proposed Large User in Franklin County Every 10 Years WSP","proposed","Franklin County","Proposed Large User SW Source","Surface Water Intake","0","","0","0","0","0","0"
"P & R Associates Llc","68883","Providence Golf Club(Providence Golf Club (Irrigation))","Providence Golf Club","active","Chesterfield","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"Vulcan Construction Materials LLC","70096","PUDDLEDOCK PLANT(PUDDLEDOCK PLANT)","PUDDLEDOCK PLANT","active","Prince George","APPOMATTOX RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Vulcan Construction Materials LLC","70096","PUDDLEDOCK PLANT(PUDDLEDOCK PLANT)","PUDDLEDOCK PLANT","active","Prince George","SETTLING POND","Surface Water Intake","0","","0","1192.5","0","0","147.15"
"","0","","Pulaski (Agriculture)","proposed","Pulaski","Pulaski (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Pulaski (Community Water System)","proposed","Pulaski","Pulaski (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Pulaski Country Club","68846","Pulaski Golf Course(Pulaski Golf Course (Irrigation))","Pulaski Golf Course","active","Pulaski","Thorn Spring Branch","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Pulaski (Large Self-Supplied User)","proposed","Pulaski","Pulaski (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Nanochemonics Holdings Llc","69544","Pulaski Plant(Pulaski Plant)","Pulaski Plant","active","Pulaski","PEAK CREEK","Surface Water Intake","1","VWUDS Form","1","240.6","0","0","25.838"
"Pulaski, Town Of","71462","PULASKI (TOWN) WTP(PULASKI, TOWN)","PULASKI (TOWN) WTP","active","Pulaski","PEAK CREEK","Surface Water Intake","4","VWUDS Form","1","812.077","6.00","0","81.676"
"Pulaski, Town Of","71462","PULASKI (TOWN) WTP(PULASKI, TOWN)","PULASKI (TOWN) WTP","active","Pulaski","Hogan Lake","Surface Water Intake","1","VWUDS Form","1","90.598","6.00","0","12.482"
"Pulaski, Town Of","71462","PULASKI (TOWN) WTP(PULASKI, TOWN)","PULASKI (TOWN) WTP","active","Pulaski","Gatewood Reservoir ","Surface Water Intake","0","","0","0","6.00","0","0"
"Purcellville, Town Of","69614","PURCELLVILLE SERVICE AREA(PURCELLVILLE)","PURCELLVILLE SERVICE AREA","active","Loudoun","COOPER SPRING","Surface Water Intake","0","","0","103.587","0","0","25.556"
"Purcellville, Town Of","163148","Purcellville Centennial Reservoir ","PURCELLVILLE SERVICE AREA","active","Loudoun","COOPER SPRING","Surface Water Intake","0","","0","103.587","0","0","25.556"
"Purcellville, Town Of","69614","PURCELLVILLE SERVICE AREA(PURCELLVILLE)","PURCELLVILLE SERVICE AREA","active","Loudoun","JT HIRST RESERVOIR","Surface Water Intake","0","","5","78.814","0","0","7.2"
"Purcellville, Town Of","163148","Purcellville Centennial Reservoir ","PURCELLVILLE SERVICE AREA","active","Loudoun","JT HIRST RESERVOIR","Surface Water Intake","0","","5","78.814","0","0","7.2"
"C C Mayes","69299","QUAIL HILL ORCHARD","QUAIL HILL ORCHARD","inactive","Hanover","DUG POND","Surface Water Intake","0","","0","0","0","0","0"
"C C Mayes","69299","QUAIL HILL ORCHARD","QUAIL HILL ORCHARD","inactive","Hanover","DUG POND","Surface Water Intake","0","","4","0","0","0","0"
"James P Townsend","68771","QUEENFIELD FARM(QUEENFIELD FARM)","QUEENFIELD FARM","active","King William","PAMUNKEY RIVER - QF4","Surface Water Intake","0","","2","0","0","0","0"
"James P Townsend","68771","QUEENFIELD FARM(QUEENFIELD FARM)","QUEENFIELD FARM","active","King William","Pamunkey R - QF3","Surface Water Intake","0","","0","0","0","0","0"
"James P Townsend","68771","QUEENFIELD FARM(QUEENFIELD FARM)","QUEENFIELD FARM","active","King William","PAMUNKEY RIVER - QF1","Surface Water Intake","0","","2","0","0","0","0"
"QUEENFIELD GOLF COURSE LLC","70022","Queenfield Golf Club(Queenfield Golf Club)","Queenfield Golf Club","active","King William","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"Joseph H Stepp III","70850","RACEFIELD FARM(RACEFIELD FARM)","RACEFIELD FARM","active","Caroline","RAPPAHANNOCK RIVER","Surface Water Intake","0","","1","0","0","0","0"
"","0","","Radford (Agriculture)","proposed","Radford","Radford (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"United States Government","70174","RADFORD AMMUNITIONS WTP 1(RADFORD AMMUNITIONS PLANT)","RADFORD AMMUNITIONS WTP 1","active","Montgomery","NEW RIVER (PUMP HOUSES 407 AND 408) WTP#1","Surface Water Intake","0","","1","10195.185","52","0","1090.53"
"United States Government","70121","RADFORD AMMUNITIONS WTP 2(RADFORD AMMUNITIONS PLANT)","RADFORD AMMUNITIONS WTP 2","inactive","Montgomery","NEW RIVER (BLDG 4330)","Surface Water Intake","0","","5","803.833","0","0","90.706"
"","0","","Radford (Community Water System)","proposed","Radford","Radford (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Radford, City Of  Electric Dep","410361","Radford Hydroelectric Project","RADFORD HYDROPOWER PLANT","active","Montgomery","LITTLE RIVER","Surface Water Intake","0","","0","64140.61","0","0","8633.58"
"","0","","Radford (Large Self-Supplied User)","proposed","Radford","Radford (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Radford, City Of","70496","RADFORD WTP(RADFORD)","RADFORD WTP","active","Radford","NEW RIVER","Surface Water Intake","12","VWUDS Form","1","1016.186","12.1","0","94.98"
"John F Myrick","70079","RAMB FARM","RAMB FARM","inactive","Brunswick","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Ramsey L. Taylor","70797","Surface Water Reporting - [no name]","RAMSEY L. TAYLOR","inactive","Pittsylvania","WHITETHORN CREEK","Surface Water Intake","0","","5","0","0","0","0"
"Paramont Contura LLC","69767","RAMSEY PREPARATION PLANT(RAMSEY PREP PLANT)","RAMSEY PREPARATION PLANT","inactive","Wise","GUEST RIVER","Surface Water Intake","0.59","VWUDS Form","1","45.528","0","0","5.27"
"Randolph P Collins","69998","Surface Water Reporting - [no name]","RANDOLPH P COLLINS","active","Pittsylvania","FARM POND #2  TO 2 ACRES","Surface Water Intake","0","","2","0","0","0","0"
"Randolph P Collins","69998","Surface Water Reporting - [no name]","RANDOLPH P COLLINS","active","Pittsylvania","FARM POND #1  TO 5 ACRES","Surface Water Intake","0","","3","0","0","0","0"
"Edmund M Coleman","71132","RAPIDAN BERRY GARDENS","RAPIDAN BERRY GARDENS","inactive","Culpeper","RAPIDAN RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Rapidan Golf Club","68952","Somerset(Somerset)","Rapidan Golf Club","active","Orange","POND #12 Fairway/Green","Surface Water Intake","0","","0","0","0","0","0"
"Rapidan Golf Club","68952","Somerset(Somerset)","Rapidan Golf Club","active","Orange","RAPIDAN RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Rapidan Golf Club","68952","Somerset(Somerset)","Rapidan Golf Club","active","Orange","POND #10 Fairway/Green","Surface Water Intake","0","","0","0","0","0","0"
"Rapidan Service Authority","71255","RAPIDAN RIVER WTP(STANARDSVILLE)","RAPIDAN RIVER WTP","active","Greene","RAPIDAN RIVER","Surface Water Intake","1.75","VWUDS Form","1","101.386","1.94","0","9.577"
"Spotsylvania County","69123","RAPIDAN R TO HUNTING RUN RESER(RAPIDAN RIVER PUMP)","RAPIDAN R TO HUNTING RUN RESER","active","Spotsylvania","RAPIDAN R TO HUNTING RUN RES","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Rappahannock (Agriculture)","proposed","Rappahannock","Rappahannock (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Rappahannock (Community Water System)","proposed","Rappahannock","Rappahannock (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Mid-Atlantic Materials c/o Bardon, Inc.","71429","RAPPAHANNOCK FARMS Sand & Gravel (RAPPAHANNOCK FARMS Sand & Gravel)","RAPPAHANNOCK FARMS Sand & Gravel ","active","King George","RAPPAHANNOCK RIVER","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Rappahannock (Large Self-Supplied User)","proposed","Rappahannock","Rappahannock (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Raspberry Golf Inv Llc","90375","Raspberry Falls Golf & Hunt Club(Raspberry Falls (Irrigation))","Raspberry Falls Golf & Hunt Club","active","Loudoun","Lake","Surface Water Intake","0","","0","0","0","0","0"
"Tazewell County Psa","70502","RAVEN-DORAN WTP(RAVEN-DORAN)","RAVEN-DORAN WTP","inactive","Tazewell","CLINCH RIVER","Surface Water Intake","0","","0","87.362","0","0","8.804"
"Ray A Bennett","70977","Surface Water Reporting - [no name]","RAY A BENNETT","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Ray Clarke","68727","Surface Water Reporting - [no name]","RAY CLARKE","active","Dinwiddie","FARM POND   FARM #91","Surface Water Intake","0","","5","0","0","0","0"
"Ray Clarke","68727","Surface Water Reporting - [no name]","RAY CLARKE","active","Dinwiddie","FARM POND 2","Surface Water Intake","0","","4","0","0","0","0"
"Ray Clarke","68727","Surface Water Reporting - [no name]","RAY CLARKE","active","Dinwiddie","FARM POND 1-Mill Run Branch","Surface Water Intake","0","","4","0","0","0","0"
"Ray Clarke","68727","Surface Water Reporting - [no name]","RAY CLARKE","active","Dinwiddie","FARM POND 4","Surface Water Intake","0","","5","0","0","0","0"
"Ray Clarke","68727","Surface Water Reporting - [no name]","RAY CLARKE","active","Dinwiddie","FARM POND 3","Surface Water Intake","0","","5","0","0","0","0"
"Donald Andrews","69567","Raymond A. Henshaw(Henshaw, 15720 Cox Rd. Church Road VA)","Raymond A. Henshaw","active","Dinwiddie","Henshaw Farm Pond","Surface Water Intake","0","","0","0","0","0","0"
"Donald Andrews","69567","Raymond A. Henshaw(Henshaw, 15720 Cox Rd. Church Road VA)","Raymond A. Henshaw","active","Dinwiddie","Big Pond","Surface Water Intake","0","","0","0","0","0","0"
"Raymond G. Rowland Sr.","71137","Surface Water Reporting - [no name]","RAYMOND G. ROWLAND SR.","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Raymond Lee Stowe","69994","Surface Water Reporting - [no name]","RAYMOND LEE STOWE","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","PRESS FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","RAY NEWMAN FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","OAK GROVE FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","HUME DIXON FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","EYRE HALL FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","MAPP FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","LITTLE SEAFORD FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","FREEDOM PROPERTIES FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Ray E. Newman","71118","Surface Water Reporting - [no name]","RAY NEWMAN","active","Northampton","GIBBS FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"Melvin R. Pruitt","71076","RAY'S CREEK GOLF COURSE(RAY'S CREEK GOLF COURSE)","RAY'S CREEK GOLF COURSE","inactive","Danville","RUTELEDGE CREEK","Surface Water Intake","0","","5","4.4","0","0","1"
"T C Reames Jr","70459","REAMFORD FARMS","REAMFORD FARMS","inactive","Amelia","WEST CREEK","Surface Water Intake","0","","2","76.568","0","0","31.906"
"Jonathan Mendel","69233","REDFIELD FARM INC/MENDEL FARMS","REDFIELD FARM INC/MENDEL FARMS","inactive","Amelia","FARM POND #1   ROWLETTE","Surface Water Intake","0","","5","0","0","0","0"
"Jonathan Mendel","69233","REDFIELD FARM INC/MENDEL FARMS","REDFIELD FARM INC/MENDEL FARMS","inactive","Amelia","FARM POND #2   CRAWFORD","Surface Water Intake","0","","5","0","0","0","0"
"Martin Marietta Aggregates","70812","RED HILL QUARRY(RED HILL QUARRY)","RED HILL QUARRY","active","Albemarle","HARDWARE RIVER","Surface Water Intake","0.72","VWUDS Form","1","44.244","0","0","6.264"
"William B Patterson & Son","71524","RED MILL FARM","RED MILL FARM","active","Augusta","TRIB TO SOUTH RIVER","Surface Water Intake","0","","4","0","0","0","0"
"William B Patterson & Son","71524","RED MILL FARM","RED MILL FARM","active","Augusta","SOUTH R  DWNSTREAM OF RED MILL","Surface Water Intake","0","","0","0","0","0","0"
"William B Patterson & Son","71524","RED MILL FARM","RED MILL FARM","active","Augusta","SOUTH RIVER  PASTURE","Surface Water Intake","0","","0","0","0","0","0"
"William B Patterson & Son","71524","RED MILL FARM","RED MILL FARM","active","Augusta","SOUTH RIVER  20 AC","Surface Water Intake","0","","4","0","0","0","0"
"William B Patterson & Son","71524","RED MILL FARM","RED MILL FARM","active","Augusta","south river wagner farm","Surface Water Intake","0","","0","0","0","0","0"
"Gary M. Hutt","69575","RED OAK NURSERIES","RED OAK NURSERIES","active","Westmoreland","FARM POND #3","Surface Water Intake","0","","2","0","0","0","0"
"Gary M. Hutt","69575","RED OAK NURSERIES","RED OAK NURSERIES","active","Westmoreland","FARM POND #2","Surface Water Intake","0","","1","0","0","0","0"
"Gary M. Hutt","69575","RED OAK NURSERIES","RED OAK NURSERIES","active","Westmoreland","FARM POND #1","Surface Water Intake","0","","1","31.5","0","0","6.7"
"Red Wing Golf","70426","RED WING LAKE GOLF COURSE(RED WING LAKE GOLF COURSE)","RED WING LAKE GOLF COURSE","active","Virginia Beach","REDWING LAKE","Surface Water Intake","0","","0","3.016","0","0","0.814"
"Rees Vwuds","68679","VWUDS Test(VWUDS Test)","Rees Vineyard","inactive","Albemarle","Un-Named Trib to Rockfish River (Mont Alto)","Surface Water Intake","0","","3","0","0","0","0"
"Rees Vwuds","68679","VWUDS Test(VWUDS Test)","Rees Vineyard","inactive","Albemarle","Cistern","Surface Water Intake","0","","0","0","0","0","0"
"Rees Vwuds","68679","VWUDS Test(VWUDS Test)","Rees Vineyard","inactive","Albemarle","test8","Surface Water Intake","0","","0","0","0","0","0"
"Rees Vwuds","68679","VWUDS Test(VWUDS Test)","Rees Vineyard","inactive","Albemarle","New Pond - Southwest corner of property","Surface Water Intake","0","","0","0","0","0","0"
"Rees Vwuds","68679","VWUDS Test(VWUDS Test)","Rees Vineyard","inactive","Albemarle","Tset 3","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Remington (Agriculture)","proposed","Fauquier","Remington (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Remington (Community Water System)","proposed","Fauquier","Remington (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Remington (Large Self-Supplied User)","proposed","Fauquier","Remington (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Stanley Hula Jr","70128","Renwood @ Curles Neck(Renwood @ Curles Neck)","Renwood @ Curles Neck","active","Charles City","James River 340AC CN17,CN21,CN18","Surface Water Intake","0","","0","0","0","0","0"
"Renwood Farms, Inc","69945","RENWOOD FARMS(RENWOOD FARMS)","RENWOOD FARMS","inactive","Charles City","JAMES RIVER","Surface Water Intake","0","","5","17.3","0","0","8.4"
"Stanley Hula Jr","69856","RENWOOD FARMS INC(RENWOOD FARMS INC)","RENWOOD FARMS INC","active","Charles City","JAMES RIVER  44 AC   R5","Surface Water Intake","0","","1","0","0","0","0"
"Stanley Hula Jr","69856","RENWOOD FARMS INC(RENWOOD FARMS INC)","RENWOOD FARMS INC","active","Charles City","JAMES RIVER  86 AC   R6,7,8","Surface Water Intake","0","","3","0","0","0","0"
"Stanley Hula Jr","69856","RENWOOD FARMS INC(RENWOOD FARMS INC)","RENWOOD FARMS INC","active","Charles City","JAMES RIVER  55 AC   S3 & R18","Surface Water Intake","0","","2","3.24","0","0","2.268"
"Aqua Va - Div Of Aqua America","70726","RESTON L ANNE AIR CONDITION(RESTON L ANNE AIR CONDITION)","RESTON L ANNE AIR CONDITION","active","Fairfax County","LAKE ANNE","Surface Water Intake","0","","0","0","0","0","0"
"Rn Golf Management Llc","71093","RESTON GOLF COURSE(RESTON GOLF COURSE)","RESTON NATIONAL GOLF COURSE","active","Fairfax County","LAKE AUDUBON","Surface Water Intake","0","","5","51.84","0","0","8.9"
"Rn Golf Management Llc","71093","RESTON GOLF COURSE(RESTON GOLF COURSE)","RESTON NATIONAL GOLF COURSE","active","Fairfax County","LINKS POND","Surface Water Intake","0","","5","23.55","0","0","7.1"
"Bowman A Smith Distillery Inc","71284","RESTON PLANT(RESTON PLANT)","RESTON PLANT","inactive","Fairfax County","PRIVATE LAKE","Surface Water Intake","0","","0","6.839","0","0","1.68"
"Appalachian Power Company","68721","REUSENS HYDROPOWER PLANT(REUSENS HYDROPOWER PLANT)","REUSENS HYDROPOWER PLANT","inactive","Bedford County","JAMES RIVER","Surface Water Intake","0","","0","524528.4","0","0","75179.82"
"R G Davis","70833","R G DAVIS & SONS INC(R G DAVIS & SONS INC)","R G DAVIS & SONS INC","inactive","Dinwiddie","FARM POND","Surface Water Intake","0","","2","0","0","0","0"
"John C. Rhodes","71437","Rhodes Family Farm","Rhodes Family Farm","active","Rockingham","MUDDY CREEK  ","Surface Water Intake","0","","1","0","0","0","0"
"Dusty Rhodes","70129","dairy & crop farm(RHODESLAND PLANTATION LLC)","Rhodesland Plantation","active","Orange","BLUE RUN - UPLANDS (Intake #1)","Surface Water Intake","0","","0","0","0","0","0"
"Dusty Rhodes","70129","dairy & crop farm(RHODESLAND PLANTATION LLC)","Rhodesland Plantation","active","Orange","Intake #4 (Rapidan R)","Surface Water Intake","0","","0","0","0","0","0"
"Dusty Rhodes","70129","dairy & crop farm(RHODESLAND PLANTATION LLC)","Rhodesland Plantation","active","Orange","RAPIDAN RIVER - RIVER BOTTOM (Intake #3)","Surface Water Intake","0","","0","0","0","0","0"
"Dusty Rhodes","70129","dairy & crop farm(RHODESLAND PLANTATION LLC)","Rhodesland Plantation","active","Orange","INTAKE #2 (Marsh Run)","Surface Water Intake","0","","0","0","0","0","0"
"R I Carraway","69236","Surface Water Reporting - [no name]","R I CARRAWAY","inactive","Sussex","FARM POND ????","Surface Water Intake","0","","5","0","0","0","0"
"Richard Avery","69205","Surface Water Reporting - [no name]","RICHARD AVERY","inactive","Dinwiddie","FARM POND 2","Surface Water Intake","0","","0","0","0","0","0"
"Richard Avery","69205","Surface Water Reporting - [no name]","RICHARD AVERY","inactive","Dinwiddie","FARM POND 1","Surface Water Intake","0","","0","0","0","0","0"
"Richard Byrum","69434","Surface Water Reporting - [no name]","RICHARD BYRUM","inactive","Isle of Wight","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Richard D Turner","70446","Surface Water Reporting - [no name]","RICHARD D TURNER","inactive","Pittsylvania","FARM POND 3","Surface Water Intake","0","","0","0","0","0","0"
"Richard D Turner","70446","Surface Water Reporting - [no name]","RICHARD D TURNER","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Richard D Turner","70446","Surface Water Reporting - [no name]","RICHARD D TURNER","inactive","Pittsylvania","FARM POND 2","Surface Water Intake","0","","0","0","0","0","0"
"Richard D Wood","70339","Surface Water Reporting - [no name]","RICHARD D WOOD","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Richard L  Scruggs","70067","Surface Water Reporting - [no name]","RICHARD L  SCRUGGS","active","Pittsylvania","FARM POND","Surface Water Intake","0","","1","0","0","0","0"
"Richard L  Scruggs","70067","Surface Water Reporting - [no name]","RICHARD L  SCRUGGS","active","Pittsylvania","GEORGES CREEK","Surface Water Intake","0","","0","0","0","0","0"
"Richard L  Scruggs","70067","Surface Water Reporting - [no name]","RICHARD L  SCRUGGS","active","Pittsylvania","GEORGES CREEK","Surface Water Intake","0","","1","0","0","0","0"
"Richard L  Scruggs","70067","Surface Water Reporting - [no name]","RICHARD L  SCRUGGS","active","Pittsylvania","FARM POND","Surface Water Intake","0","","1","0","0","0","0"
"","0","","Rich Creek (Agriculture)","proposed","Giles","Rich Creek (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Rich Creek (Community Water System)","proposed","Giles","Rich Creek (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Rich Creek (Large Self-Supplied User)","proposed","Giles","Rich Creek (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Richlands, Town Of","69353","RICHLANDS SERVICE AREA(RICHLANDS)","RICHLANDS SERVICE AREA","active","Tazewell","KENTS RIDGE ROAD SPRING","Surface Water Intake","0","","0","60.636","5.00","0","5.921"
"Richlands, Town Of","69353","RICHLANDS SERVICE AREA(RICHLANDS)","RICHLANDS SERVICE AREA","active","Tazewell","CLINCH RIVER","Surface Water Intake","7","VWUDS Form","1","316.29","5.00","0","28.3"
"Richmond, City Of","70133","RICHMOND (CITY) WTP(RICHMOND, CITY)","RICHMOND (CITY) WTP","active","Richmond City","JAMES RIVER AND KANAWA CANAL","Surface Water Intake","887","VWUDS Form","1","23960","200","0","2466"
"Richmond, City Of","163249","City of Richmond Haxall & East Kanawha Canals","RICHMOND (CITY) WTP","active","Richmond City","JAMES RIVER AND KANAWA CANAL","Surface Water Intake","887","VWUDS Form","1","23960","200","0","2466"
"Richmond Country Club, Inc","68864","RICHMOND COUNTRY CLUB, INC(Richmond Country Club (Irrigation))","RICHMOND COUNTRY CLUB, INC","active","Goochland","Irrigation Pond","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Richmond County (Agriculture)","proposed","Richmond County","Richmond County (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Richmond County (Community Water System)","proposed","Richmond County","Richmond County (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Richmond County (Large Self-Supplied User)","proposed","Richmond County","Richmond County (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Fibermark Inc","69529","RICHMOND MILL(RICHMOND MILL)","RICHMOND MILL","inactive","Richmond City","JAMES RIVER","Surface Water Intake","0","","5","71.716","0","0","9.81"
