CREATEDORMIGRATEDTOEXISTING,VAHYDRO_HYDROID,VAHYDRO_NAME,VAHYDRO_ADDR1,VAHYDRO_CITY,CEDS_FAC_ID,CEDS_FAC_NAME,CEDS_FAC_M_ADDR1,CEDS_FAC_M_CITY,CEDS_FAC_L_ADDR1,CEDS_FAC_L_CITY,FACILITY_NAME_FORMATTING_ERROR,FACILITY_ADDRESS_FORMATTING_ERROR,OWS Staff Found CEDS Match (CEDS Facility ID),Updated VAHydro Facility Name/Address to Match,Comments
Created,90591,Sunnyside Farm,P.O. Box 1306,Bowling Green,,,,,,,,"Address not properly formatted.",,,
Created,90595,Sunripe Camp,16355 Sunripe Lane,Painter,,,,,,,,,,,
Migrated to Existing,67365,Sunset Beach Resort & Campground,32246 Lankford Highway,Cape Charles,200000067189,Sunset Beach Resort and Campground,9428 Stephen Decatur Hwy,Berlin,32246 Lankford Hwy,Cape Charles,Name has special characters.,,,,
Created,436504,Super Chic LTD,,Burkeville,,,,,,,,,,,
Created,440478,Supervalu Inc.,8258 Richfood Road,Mechanicsville,,,,,,,Name has special characters.,,,,
Created,66974,Surry County Educational Complex,PO Box 317,Surry,,,,,,,,,,,
Migrated to Existing,67224,Surry Power Station,5000 Dominion Boulevard,Glen Allen,200000198663,Surry Power Station,5000 Dominion Blvd,Glen Allen,,,,,,,
Migrated to Existing,67170,Surry Town of,PO Box 314,Surry,200000198614,Surry Town of,PO Box 314,Surry,,,,,,,
Created,67352,Sussex Courthouse,,Sussex,,,,,,,,,,,
Created,410435,Swover Creek,,,,,,,,,,,,,
Created,72739,THOMAS BR WATER CO SERVCE AREA,586 THOMAS BRIDGE ROAD,MARION,,,,,,,,,,,
Created,73351,"TRADITION GOLF CLUB AT STONEHOUSE, LLC",9700 Mill Pond Run,Toano,,,,,,,Name has special characters.,,,,
Created,415481,Tai Dat Farm,28261 Turkey Run Road,Mappsville,,,,,,,,,,,
Created,67376,Talleysville,PO Box 50,New Kent,,,,,,,,,,,
Created,67110,Tammy and Johnnys,27352 Lankford Hwy,Melfa,,,,,,,,"Address not properly formatted.",,,
Created,66871,Tankard Farm,P.O. Box 119,Capeville,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67395,Tankards Rest,8410 Grapeland Farm Road,Machipongo,200000198558,Tankards Rest,8410 Grapeland Farm Road,Machipongo,,,,,,,
Created,398677,Tanner Farm,,,,,,,,,,,,,
Created,66904,Tartan (Kingsland & Green),Waterview Point Lane,Irvington,,,,,,,Name has special characters.,,,,
Created,67033,Tasley Pond 1 and Pond 2 Farm,Fairgrounds Blvd (SR 126),Tasley,,,,,,,,"Address not properly formatted.",,,
Created,67378,Tauxemont Community Water System,1209 Shenadoah Drive,Alexandria,,,,,,,,,,,
Migrated to Existing,66857,Taylor Shield Spurley,PO Box 246,Accomac,200000198546,Taylor Shield Spurley,PO Box 246,Accomac,,,,,,,
Created,415116,Teresa Farm,,,,,,,,,,,,,
Created,67183,Test Cell,9742 Maryland Avenue,Norfolk,,,,,,,,,,,
Created,67682,The Coves at Wilton Creek,23 Mariners Point Lane,Hartfield,,,,,,,,,,,
Created,72273,The Federal Club,13030 Palmers Way,Glen Allen,,,,,,,,,,,
Created,66855,"The Ivy Farm, Inc.",22511 Rose Cottage Road,Locustville,,,,,,,Name has special characters.,,,,
Created,90416,The Manor Golf Club,872 Manor House Drive,Farmville,,,,,,,,,,,
Migrated to Existing,66873,The Retreat,9811 Mallard Drive Suite 213,Laurel,200000198537,The Retreat,9811 Mallard Drive Suite 213,Laurel,Barnes Road,,,,,,
Created,66888,The Tradition Golf Club at Broad Bay,2120 Lords Landing,Virginia Beach,,,,,,,,,,,
Created,415112,Thomas Farm,10089 Atlantic Rd.,Atlantic,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67017,Thomas Jefferson National Accelerator Facility,Suite 14,Newport News,200000869274,Thomas Jefferson National Accelerator Facility,,,12000 Jefferson Ave.,Newport News,,,,,
Migrated to Existing,67439,Thompson Ave Well,PO Box 152,West Point,200000198668,Thompson Ave Well,PO Box 152,West Point,,,,,,,
Created,398648,"Thornton Farm (Ed, Pat, and Brandy Sue Farm)",,,,,,,,,Name has special characters.,,,,
Created,67680,Thousand Trails (Chesapeake Bay Rv Resort),12014 Trails Lane,Gloucester,,,,,,,Name has special characters.,,,,
Created,67286,Tidewater  Growers,PO Box 354,Keller,,,,,,,,,,,
Created,462409,Timber Preserve,,,,,,,,,,,,,
Created,67420,Tipton Farm,Kuzzens Inc.,Exmore,,,,,,,,"Address not properly formatted.",,,
Created,67184,Town of Bowling Green Water System,Town of Bowling Green,Bowling Green,,,,,,,,,,,
Created,72471,Town of Front Royal Surface Water Withdrawal System,PO BOX 1560,FRONT ROYAL,,,,,,,,,,,
Created,67112,Town of Ivor,P.O Box 335,Ivor,,,,,,,,"Address not properly formatted.",,,
Created,67677,Town of Kilmarnock,1 N. Main Street,Kilmarnock,,,,,,,,"Address not properly formatted.",,,
Created,66955,Town of Montross,P.O. Box 126,Montross,,,,,,,,"Address not properly formatted.",,,
Created,67199,Town of Parksley Water Works,18419 Browne Ave.,Parksley,,,,,,,,"Address not properly formatted.",,,
Created,67323,Town of Port Royal Municipal Water System,P. O. Box 29 ,Port Royal,,,,,,,,"Address not properly formatted.",,,
Created,67024,Town of Saluda,General Puller Highway Rt. 33,Saluda,,,,,,,,"Address not properly formatted.",,,
Created,67693,Town of Tappahannock,915 Church Lane,Tappahannock,,,,,,,,,,,
Created,67692,Town of Urbanna,351 Bonner Street,Urbanna,,,,,,,,,,,
Created,410706,Town of Warrenton Recreation Center,P.O. Drawer 341,,,,,,,,,"Address not properly formatted.",,,
Created,67699,Town of Warsaw,P.O. Box 730,Warsaw,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,66994,Townfield,PO Box 117,Cheriton,200000198498,Townfield,PO Box 117,Cheriton,,,,,,,
Created,439722,"Trader Farms-E.T. Trader, T&H, and Jan Trader Farms",6220 Bullbeggard Road,WIthams,,,,,,,Name has special characters.,,,,
Created,67315,Trails End Utility Company Incorporated,PO Box 268,Horntown,,,,,,,,,,,
Created,462399,Tram Thoa,18687 Country Road,Parksley,,,,,,,,,,,
Created,67129,Triangle Mobile Home Park,Pettit Street,Mappsville,,,,,,,,,,,
Created,71608,Trump National Golf Club Washington DC,20391 Lowes Island Blvd.,Potomac Falls,,,,,,,,"Address not properly formatted.",,,
Created,67700,Tucker's Recreation Park,244 Barn Road,Shacklefords,,,,,,,,,,,
Created,415089,Turkey Run Farm,28413 Turkey Run Road,Bloxom,,,,,,,,,,,
Created,414960,Turlington Poultry Farm,,,,,,,,,,,,,
Created,67175,Turner Farm,P.O. Box 266,Nassawadox,,,,,,,,"Address not properly formatted.",,,
Created,67117,Turner Tract,Boykins,Branchville,,,,,,,,,,,
Migrated to Existing,67089,Twin Cedar Farms,PO Box 204,Cheriton,200000198799,Twin Cedar Farms,PO Box 204,Cheriton,,Seaview,,,,,
Created,410440,Twin Cedars,,,,,,,,,,,,,
Created,67446,Two Rivers Country Club,1950 Two Rivers Road,Williamsburg,,,,,,,,,,,
Created,67016,"Tyson Farms, Inc.",PO Box 8,Temperanceville,,,,,,,Name has special characters.,,,,
Created,72495,UPPER SMITH RIVER WTP,3300 KINGS MOUNTAIN RD,COLLINSVILLE,,,,,,,,,,,
Migrated to Existing,67207,US NASA -Goddard Space Flight Center - Island System,Wallops Flight Facility,Wallops Island,200000198650,US NASA-Goddard Space Flight Center Island Systems,Wallops Flight Facility,Wallops Island,Wallops Flight Facility,,,,,,
Migrated to Existing,67153,US NASA -Goddard Space Flight Center - Main Base,Wallops Flight Facility,Wallops Island,200000198649,US NASA -Goddard Space Flight Center Main Base,Wallops Flight Facility,Wallops Island,,,,,,,
Created,67445,US Navy -Norfolk Naval Shipyard RDF,Building M 22,Portsmouth,,,,,,,,,,,
Created,67115,USCG Training Center Yorktown,End of State Rt. 238,Yorktown,,,,,,,,"Address not properly formatted.",,,
Created,67327,USN Naval Public Works Center - Driver Wells,Naval Station Building P 71,Norfolk,,,,,,,,,,,
Created,73295,VARINA ON THE JAMES,P.O. Box 279,Hanover,,,,,,,,"Address not properly formatted.",,,
Created,67276,VCCS -Tidewater Community College,7000 College Drive,Portsmouth,,,,,,,,,,,
Migrated to Existing,67330,VDOC -Nansemond Correctional Unit number 3,,Walters,200000198657,VDOC -Nansemond Correctional Unit number 3,,Walters,,,,,,,
Created,67071,VDOC -Saint Brides / Indian Creek Correctional Center,701 Sanderson Road,Chesapeake,,,,,,,Name has special characters.,,,,
Created,66863,VDOC -Southampton Correctional Complex,14545 Old Belfield Road,Capron,,,,,,,,,,,
Created,66908,VIASYSTEMS,4500 South Laburnam Avenue,Richmond,,,,,,,,,,,
Created,67307,Valley Proteins Incorporated Emporia Plant,25170 Val-Pro Drive,Emporia,,,,,,,,,,,
Created,410445,Valley View,,,,,,,,,,,,,
Migrated to Existing,67020,Van Kesteren Farms Incorporated,PO Box 346,Tasley,200000091820,Van Kesteren Farms Incorporated,,,Box 487 - 23765 Merry Branch Rd,Tasley,,,,,
Created,415655,Van Tran Farm,,Accomack,,,,,,,,,,,
Created,67122,Venter Heights Water System,Rt. 30 & Rt. 611,Aylette,,,,,,,,"Address not properly formatted.",,,
Created,67246,Village of Holland,,,,,,,,,,,,,
Created,66919,Village of Whaleyville,,,,,,,,,,,,,
Created,67396,Villages at Kings Creek Commercial Center,Routes 13 and 641,,,,,,,,,,,,
Created,73199,Viniterra Golf Course,8647 Angel Share Drive,New Kent,,,,,,,,,,,
Created,481818,Virginia Artesian Bottling Company,4300 Spring Run Rd,Mechanicsville,,,,,,,,,,,
Created,426215,Virginia Beach City Public Schools,568 Corporate Landing Parkway,Virginia Beach,,,,,,,,,,,
Created,66860,Virginia Beach City of -number 1,PO Box 737,Suffolk,,,,,,,,,,,
Created,67136,Virginia Beach City of -number 2,PO Box 737,Suffolk,,,,,,,,,,,
Migrated to Existing,67209,Virginia Beach City of -number 5,Municipal Center,Virginia Beach,200000198660,Virginia Beach City - Number 5,Municipal Center,Virginia Beach,,,,,,,
Created,66903,Virginia Beach City of -numbers 3 and 4,PO Box 80,Isle of Wight,,,,,,,,,,,
Created,67290,Virginia Beach National Golf Course,2500 Tournament Dr.,Virginia Beach,,,,,,,,"Address not properly formatted.",,,
Created,419188,Virginia Carbonite,Southwest quadrant of the intersection of (Route 674) and Kent Junction Road (Route 23),,,,,,,,,"Address not properly formatted.",,,
Created,381598,Virginia Carolina Water Authority New River RO Plant,Moxley Ridge Road,Independence,,,,,,,,,,,
Created,67251,Virginia DEQ,629 E Main Street,Richmond,,,,,,,,,,,
Created,67076,Virginia Farm (aka Middleton Farm),"Del Monte Fresh Production, Inc.","Bloxom,",,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,378561,Virginia Institute of Marine Science - Gloucester Point Campus,1375 Greate Road,Gloucester Point,,,,,,,,,,,
Created,67002,Virginia Landing Campground,PO Box 148,Quinby,,,,,,,,,,,
Created,66910,"Virginia Renewable Power - Portsmouth, LLC",One Wild Duck Lane,Portsmouth,,,,,,,Name has special characters.,,,,
Created,67044,Virginia Supertree Nursery,18229 Eppes Drive,Capron,,,,,,,,,,,
Created,415645,Vision Quest Farm,18478 Lankford Highway,Parksley,,,,,,,,,,,
Migrated to Existing,67031,"Vitesco Technologies USA, LLC",615 Bland Boulevard,Newport News,200000087571,Vitesco Technologies USA LLC,615 Bland Blvd,Newport News,615 Bland Blvd,Newport News,Name has special characters.,,,,
Created,402317,"W. J. Nottingham II, Incorporated",2497 Picketts Harbor Drive,Cape Charles,,,,,,,Name has special characters.,,,,
Created,73259,WCSA MIDDLE FORK HOLSTON WTP,25122 Regal Drive,ABINGDON,,,,,,,,,,,
Created,73187,WESTMORELAND STATE PARK,145 STATE PARK ROAD,MONTROSS,,,,,,,,,,,
Created,73075,WILDERNESS SERVICE AREA,PO BOX 148,RUCKERSVILLE,,,,,,,,,,,
Created,72414,WILLIAMSBURG NATIONAL GOLF CLUB,3700 CENTERVILLE ROAD,WILLIAMSBURG,,,,,,,,,,,
Created,72677,WISE COUNTY REGIONAL WTP,3055 CARFAX ROAD,COEBURN,,,,,,,,,,,
Created,74049,WOODBERRY FOREST SCHOOL,10 WOODBERRY STATION,WOODBERRY FOREST,,,,,,,,,,,
Migrated to Existing,67235,Wakefield Town of Municipal Water Supply System,200 West Main Street,Wakefield,200000198665,Wakefield Town of Municipal Water Supply System,200 West Main Street,Wakefield,,,,,,,
Created,67155,Walker Farm,"Kuzzens, Inc.",Exmore,,,,,,,,"Address not properly formatted.",,,
Created,67100,Walkerton Service Area,P.O. Box 195,Walkerton,,,,,,,,"Address not properly formatted.",,,
Created,67196,Walnut Grove,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Created,66876,Water Country USA,One Busch Gardens Boulevard,Williamsburg,,,,,,,,,,,
Created,67694,Waterview Mobile Home Park,5463 Amber Circle,Calabasas,,,,,,,,,,,
Migrated to Existing,67162,Waverly Plant,PO Box 8,Waverly,200000198590,Waverly Plant,PO Box 8,Waverly,,,,,,,
Migrated to Existing,67294,Waverly Town of Municipal Water Supply System,PO Box 316,Waverly,200000198666,Waverly Town of Municipal Water Supply System,119 Bank Street,Waverly,,,,,,,
Created,67234,Wayside Well System,10600 Courthouse Road,Charles City County,,,,,,,,,,,
Migrated to Existing,67328,Weaver Farm,PO Box 680,Accomac,200000198570,Weaver Farm,Court Green,Accomac,,,,,,,
Created,66964,Webster Industrial Park,21131 Webster Road,Cheriton,,,,,,,,,,,
Created,66916,Weems Public Water System,X of Weems Rd & Johns Neck Rd/Indiantown Rd,Weems,,,,,,,,,,,
Created,67187,Wells Farm,,,,,,,,,,,,,
Created,66869,Wells Produce,17501 Templeton Road,Disputanta,,,,,,,,,,,
Created,67417,Wes Powers,"Stewart Farms, Inc.",Parksley,,,,,,,,"Address not properly formatted.",,,
Created,67121,Wessells Farm,PO Box 76,Mappsville,,,,,,,,,,,
Created,66989,Wessells/ Watkinson Farm,P.O. Box 318,Parksley,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,66929,West Point Public Water System,PO Box 152,West Point,,,,,,,,,,,
Created,67010,West Point Veneer Mill Water Supply,320 DuPont Street,West Point,,,,,,,,,,,
Created,67052,WestRock West Point Mill Water System,19th and Main Streets,West Point,,,,,,,,,,,
Created,66961,Western Tidewater Water Authority,446 W. Washington St.,Suffolk,,,,,,,,"Address not properly formatted.",,,
Created,66926,Westmoreland Industrial Park Water System,111 Polk St.,Montross,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67375,Westwood Potato and Grain Farm,Route 1 Box 443,Mechanicsville,200000198488,Westwood Potato and Grain Farm,Route 1 Box 443,Mechanicsville,,,,,,,
Created,66935,Whaleyville Town of -number 1,PO Box 737,Suffolk,,,,,,,,,,,
Created,67369,Whaleyville Town of -number 2,PO Box 737,Suffolk,,,,,,,,,,,
Migrated to Existing,67068,White House,3500 Hopewell Road,New Kent,200000198565,White House,Route 1 Box 167,New Kent,,,,,,,
Created,67455,White Oak Hills,PO Box 27032,Richmond,,,,,,,,,,,
Created,428215,White Run Pumped Storage Reservoir,40 Celt Road,Standardsville,,,,,,,,,,,
Created,67004,White Sands Harbor,near Edwardsville,Montross,,,,,,,,,,,
Created,67287,White Stone Public Water System,X of Rappahannock Rd & Lee Ln,White Stone,,,,,,,,,,,
Created,66914,White Tail Park,39033 White Tail Drive,Ivor,,,,,,,,,,,
Created,67037,Whitehouse Farms,8926 old Quarter Lane,New Kent,,,,,,,,,,,
Created,67280,Wildwood Farms,3833 A South Crater Road,Petersburg,,,,,,,,,,,
Created,67151,William Hughes Apartments,16075 LANKFORD HIGHWAY,CAPE CHARLES,,,,,,,,,,,
Created,67039,William and Joan Griggs Property,,,,,,,,,,,,,
Migrated to Existing,67042,Williamsburg -number 1,One Fords Colony Drive,Williamsburg,200000198489,Williamsburg -number 1,One Fords Colony Drive,Williamsburg,,,,,,,
Migrated to Existing,67443,Williamsburg -number 2,One Fords Colony Drive,Williamsburg,200000198490,Williamsburg -number 2,One Fords Colony Drive,Williamsburg,,,,,,,
Migrated to Existing,67405,Williamsburg -number 3,One Fords Colony Drive,Williamsburg,200000198491,Williamsburg -number 3,One Fords Colony Drive,Williamsburg,,,,,,,
Migrated to Existing,67265,Williamsburg -number 4,One Fords Colony Drive,Williamsburg,200000198492,Williamsburg -number 4,One Fords Colony Drive,Williamsburg,,,,,,,
Migrated to Existing,67314,Williamsburg -number 5,One Fords Colony Drive,Williamsburg,200000198493,Williamsburg -number 5,One Fords Colony Drive,Williamsburg,,,,,,,
Migrated to Existing,66911,Williamsburg -number 6,One Fords Colony Drive,Williamsburg,200000198494,Williamsburg -number 6,One Fords Colony Drive,Williamsburg,,,,,,,
Migrated to Existing,67015,Williamsburg City of -number 1,401 Lafayette Street,Williamsburg,200000198670,Williamsburg City of -number 2,401 Lafayette Street,Williamsburg,,,,,,,
Migrated to Existing,67362,Williamsburg City of -number 2,401 Lafayette Street,Williamsburg,200000198670,Williamsburg City of -number 2,401 Lafayette Street,Williamsburg,,,,,,,
Created,67086,Williamsburg Country Club,1801 Merrimac Trail,Williamsburg,,,,,,,,,,,
Created,66853,Williamsburg Pottery Factory,,Lightfoot,,,,,,,,,,,
Created,442389,Willis Mountain Mining Complex,30 Willis Mt. Plant Lane,Dillwyn,,,,,,,,"Address not properly formatted.",,,
Created,378250,Windcrest Holsteins Inc.,,,,,,,,,Name has special characters.,,,,
Migrated to Existing,67403,Windsor Public Water System,8 East Windsor Boulevard,Windsor,200000067783,Windsor Public Water System,8 East Windsor Boulevard,Windsor,8 East Windsor Boulevard,Windsor,,,,,
Migrated to Existing,67402,Winesett Nursery,1417 Drum Pt Road,Virginia Beach,200000198542,Winesett Nursery,1417 Drum Pt Road,Virginia Beach,,,,,,,
Created,439904,Wisharts Point Farm,32530 Wisharts Point Rd,Atlantic,,,,,,,,,,,
Created,66887,Woodhaven Water Company,7242 A Lakeshore Dr,Quinton,,,,,,,,,,,
Migrated to Existing,66856,Woodruff Public Water System,PO Box 27186,Richmond,200000199522,Woodruff Public Water System,PO Box 27186,Richmond,PO Box 27186,Richmond,,,,,
Created,67085,Woods Edge Dispatch Station Water System,County of New Kent,New Kent,,,,,,,,,,,
Created,66958,Wyatt Farm,P.O. Box 119,Capeville,,,,,,,,"Address not properly formatted.",,,
Created,66981,YMCA Family Campground,312 West Bute Street,Norfolk,,,,,,,,,,,
